Source,Target,Weight,Type
Three Now_Valen Etchegoyen,Dime Como Hago_Maria Becerra,2,undirected
Three Now_Valen Etchegoyen,En Esta Boca_Young Miko,5,undirected
Three Now_Valen Etchegoyen,INSPIRADORA_Maria Becerra,2,undirected
Three Now_Valen Etchegoyen,Lick My Pssy_Chzter,1,undirected
Three Now_Valen Etchegoyen,Me Doy Cuenta_Valen Etchegoyen,2,undirected
Three Now_Valen Etchegoyen,Pull Up_Young Miko,1,undirected
Three Now_Valen Etchegoyen,Stripper Diaries (Skit)_Young Miko,2,undirected
Three Now_Valen Etchegoyen,young_miko_metadata.rda,5,undirected
Trending_Young Miko,Butter_Snow Tha Product,3,undirected
Trending_Young Miko,Kilimanjaro_Young Miko,3,undirected
Trending_Young Miko,Muñekita_Kali Uchis,2,undirected
Un Poquito_Young Miko,105 Freestyle_Young Miko,1,undirected
Un Poquito_Young Miko,Chulo pt.2_Young Miko,3,undirected
Un Poquito_Young Miko,Kachipun_Young Miko,2,undirected
Vendetta_Young Miko,Kachipun_Young Miko,2,undirected
Vendetta_Young Miko,Kilimanjaro_Young Miko,2,undirected
Vendetta_Young Miko,Muñekita_Kali Uchis,4,undirected
Vientitres_Gudnana,105 Freestyle_Young Miko,1,undirected
Vientitres_Gudnana,AKA LESBIANA SERPIENTA_SASHA SATHYA,2,undirected
Vientitres_Gudnana,young_miko_metadata.rda,3,undirected
young_miko_metadata.rda,​​​mañana_Young Miko,3,undirected
young_miko_metadata.rda,8 AM_Young Miko,3,undirected
young_miko_metadata.rda,AKA LESBIANA SERPIENTA_SASHA SATHYA,3,undirected
young_miko_metadata.rda,Ayer Soñé_Chzter,2,undirected
young_miko_metadata.rda,Bien Bow_Chocolate Remix,3,undirected
young_miko_metadata.rda,Bilingue_Snow Tha Product,1,undirected
young_miko_metadata.rda,Butter_Snow Tha Product,3,undirected
young_miko_metadata.rda,CONTIGO_KAROL G,3,undirected
young_miko_metadata.rda,corpus_metadata.rda,6,undirected
young_miko_metadata.rda,Curitas_Chzter,3,undirected
young_miko_metadata.rda,Dime Como Hago_Maria Becerra,1,undirected
young_miko_metadata.rda,Hipnotiza_Maria Becerra,3,undirected
young_miko_metadata.rda,Lick My Pssy_Chzter,2,undirected
young_miko_metadata.rda,Linda_Tokischa & Rosalía,2,undirected
young_miko_metadata.rda,Mariposa_Isabella Lovestory,3,undirected
young_miko_metadata.rda,Más Allá de Mis Ojeras_Chzter,1,undirected
young_miko_metadata.rda,Mátame Marciana_Chzter,2,undirected
young_miko_metadata.rda,Me Doy Cuenta_Valen Etchegoyen,3,undirected
young_miko_metadata.rda,Muevas las Cachas_Chocolate Remix,3,undirected
young_miko_metadata.rda,Muñekita_Kali Uchis,3,undirected
young_miko_metadata.rda,Nieve_Snow Tha Product,3,undirected
young_miko_metadata.rda,No Intentes Regresar_Valen Etchegoyen,2,undirected
young_miko_metadata.rda,Pasajero_Nath,3,undirected
young_miko_metadata.rda,Piña_Snow Tha Product,3,undirected
young_miko_metadata.rda,Puerto Rican Mami_Young Miko,3,undirected
young_miko_metadata.rda,Pull Up_Young Miko,4,undirected
young_miko_metadata.rda,Putero_Young Miko,2,undirected
young_miko_metadata.rda,QLONA_KAROL G,3,undirected
young_miko_metadata.rda,Que Le Gusta el Flow_Snow Tha Product,2,undirected
young_miko_metadata.rda,Smoke Break_Young Miko,3,undirected
young_miko_metadata.rda,Standard_Young Miko,2,undirected
young_miko_metadata.rda,Stripper Diaries (Skit)_Young Miko,3,undirected
young_miko_metadata.rda,Stripper X_Young Miko,1,undirected
young_miko_metadata.rda,Tempo_Young Miko,3,undirected
young_miko_metadata.rda,Three Now_Valen Etchegoyen,5,undirected
young_miko_metadata.rda,Vientitres_Gudnana,3,undirected
